ctry,corr,edu,tert,sof
CHL,56.37,0,none-tertiary,0
CHL,49.25,1,tertiary,0
CHL,29.14,0,none-tertiary,1
CHL,49.25,0,none-tertiary,0
CHL,51.18,1,tertiary,0
CHL,53.01,0,none-tertiary,0
CHL,54.74,1,tertiary,0
CHL,51.18,0,none-tertiary,0
CHL,51.18,1,tertiary,1
CHL,49.25,1,tertiary,0
CHL,57.94,0,none-tertiary,0
CHL,29.14,0,none-tertiary,0
CHL,54.74,0,none-tertiary,0
CHL,42.63,0,none-tertiary,0
CHL,39.83,0,none-tertiary,0
CHL,45.02,0,none-tertiary,0
CHL,59.49,1,tertiary,0
CHL,49.25,0,none-tertiary,0
CHL,54.74,0,none-tertiary,0
CHL,53.01,0,none-tertiary,0
CHL,36.12,0,none-tertiary,0
CHL,54.74,0,none-tertiary,0
CHL,49.25,1,tertiary,0
CHL,53.01,0,none-tertiary,0
CHL,49.25,0,none-tertiary,0
CHL,56.37,1,tertiary,0
CHL,49.25,0,none-tertiary,0
CHL,29.14,1,tertiary,1
CHL,49.25,0,none-tertiary,0
CHL,49.25,0,none-tertiary,0
CHL,39.83,0,none-tertiary,0
CHL,51.18,0,none-tertiary,0
CHL,45.02,0,none-tertiary,0
CHL,47.2,0,none-tertiary,0
CHL,53.7,0,none-tertiary,0
CHL,53.01,1,tertiary,0
CHL,49.25,0,none-tertiary,1
CHL,51.18,0,none-tertiary,0
CHL,53.01,0,none-tertiary,0
CHL,53.01,0,none-tertiary,0
CHL,62.74,0,none-tertiary,0
CHL,29.14,0,none-tertiary,0
CHL,47.2,1,tertiary,0
CHL,51.43,0,none-tertiary,0
CHL,56.37,0,none-tertiary,0
CHL,45.02,0,none-tertiary,0
CHL,51.18,0,none-tertiary,0
CHL,51.18,0,none-tertiary,0
CHL,51.18,0,none-tertiary,0
CHL,42.63,1,tertiary,0
CHL,49.25,0,none-tertiary,0
CHL,53.01,0,none-tertiary,0
CHL,47.2,0,none-tertiary,0
CHL,57.94,0,none-tertiary,0
CHL,49.25,0,none-tertiary,0
CHL,36.12,0,none-tertiary,0
CHL,54.74,1,tertiary,0
CHL,57.94,0,none-tertiary,0
CHL,29.14,0,none-tertiary,0
CHL,49.25,0,none-tertiary,0
CHL,53.01,0,none-tertiary,0
CHL,54.74,0,none-tertiary,0
CHL,54.74,0,none-tertiary,0
CHL,45.02,0,none-tertiary,0
CHL,53.01,0,none-tertiary,0
CHL,56.37,0,none-tertiary,0
CHL,29.14,0,none-tertiary,1
CHL,54.74,0,none-tertiary,0
CHL,59.49,0,none-tertiary,0
CHL,64.63,0,none-tertiary,0
CHL,42.63,0,none-tertiary,1
CHL,47.2,0,none-tertiary,1
CHL,45.02,0,none-tertiary,0
CHL,53.01,0,none-tertiary,0
CHL,49.25,0,none-tertiary,1
CHL,57.94,0,none-tertiary,0
CHL,39.83,1,tertiary,0
CHL,53.01,0,none-tertiary,0
CHL,54.74,0,none-tertiary,0
CHL,53.01,0,none-tertiary,0
CHL,51.54,0,none-tertiary,0
CHL,62.74,0,none-tertiary,0
CHL,51.18,0,none-tertiary,0
CHL,49.25,1,tertiary,0
CHL,54.58,0,none-tertiary,0
CHL,54.74,0,none-tertiary,0
CHL,54.74,0,none-tertiary,0
CHL,59.49,0,none-tertiary,0
CHL,36.12,1,tertiary,0
CHL,56.37,0,none-tertiary,0
CHL,36.12,0,none-tertiary,0
CHL,49.25,1,tertiary,0
CHL,66.94,0,none-tertiary,0
CHL,47.2,0,none-tertiary,0
CHL,70.2,0,none-tertiary,0
CHL,51.18,1,tertiary,0
CHL,49.25,0,none-tertiary,0
CHL,39.83,1,tertiary,1
CHL,39.83,0,none-tertiary,0
CHL,51.18,0,none-tertiary,0
CHL,47.2,0,none-tertiary,0
CHL,36.12,0,none-tertiary,0
CHL,49.25,1,tertiary,0
CHL,29.14,0,none-tertiary,0
CHL,56.37,0,none-tertiary,0
CHL,76.76,0,none-tertiary,0
CHL,39.83,0,none-tertiary,0
CHL,49.25,1,tertiary,0
CHL,53.01,0,none-tertiary,0
CHL,36.12,0,none-tertiary,0
CHL,51.18,0,none-tertiary,1
CHL,49.25,0,none-tertiary,0
CHL,56.37,0,none-tertiary,0
CHL,47.2,0,none-tertiary,0
CHL,49.25,0,none-tertiary,0
CHL,51.18,0,none-tertiary,0
CHL,47.2,1,tertiary,0
CHL,53.01,0,none-tertiary,0
CHL,54.74,0,none-tertiary,0
CHL,45.02,0,none-tertiary,1
CHL,51.18,1,tertiary,1
CHL,51.18,0,none-tertiary,0
CHL,51.18,1,tertiary,0
CHL,54.74,0,none-tertiary,0
CHL,49.25,0,none-tertiary,0
CHL,53.01,0,none-tertiary,0
CHL,39.83,0,none-tertiary,0
CHL,45.02,0,none-tertiary,0
CHL,66.94,0,none-tertiary,0
CHL,51.18,0,none-tertiary,1
CHL,59.49,0,none-tertiary,0
CHL,42.63,1,tertiary,0
CHL,45.02,0,none-tertiary,0
CHL,51.18,0,none-tertiary,0
CHL,59.49,0,none-tertiary,0
CHL,49.25,1,tertiary,0
CHL,53.01,1,tertiary,0
CHL,51.18,0,none-tertiary,0
CHL,49.25,0,none-tertiary,0
CHL,47.2,0,none-tertiary,0
CHL,29.14,0,none-tertiary,0
CHL,57.94,0,none-tertiary,0
CHL,49.25,0,none-tertiary,1
CHL,61.06,1,tertiary,0
CHL,54.74,1,tertiary,0
CHL,47.2,0,none-tertiary,0
CHL,54.74,0,none-tertiary,0
CHL,54.74,0,none-tertiary,0
CHL,39.83,1,tertiary,1
CHL,54.74,0,none-tertiary,0
CHL,57.94,1,tertiary,0
CHL,54.74,1,tertiary,0
CHL,61.06,0,none-tertiary,0
CHL,51.18,1,tertiary,0
CHL,53.01,0,none-tertiary,0
CHL,49.25,1,tertiary,1
CHL,42.63,0,none-tertiary,0
CHL,49.25,1,tertiary,1
CHL,51.18,0,none-tertiary,0
CHL,59.49,0,none-tertiary,0
CHL,59.49,0,none-tertiary,0
CHL,49.25,1,tertiary,0
CHL,62.74,0,none-tertiary,0
CHL,57.94,1,tertiary,0
CHL,56.37,0,none-tertiary,0
CHL,57.94,0,none-tertiary,0
CHL,76.76,0,none-tertiary,0
CHL,65.65,1,tertiary,0
CHL,61.06,0,none-tertiary,0
CHL,61.06,0,none-tertiary,0
CHL,53.01,0,none-tertiary,0
CHL,64.63,0,none-tertiary,0
CHL,76.76,0,none-tertiary,0
CHL,66.94,1,tertiary,0
CHL,62.74,0,none-tertiary,0
CHL,59.49,0,none-tertiary,0
CHL,62.74,0,none-tertiary,0
CHL,29.14,1,tertiary,0
CHL,59.49,0,none-tertiary,0
CHL,53.01,0,none-tertiary,0
CHL,64.63,0,none-tertiary,0
